posteam,pass_rate,epa_per_play,plays
ARI,0.59290385,-0.07129561,1071
ATL,0.5558633,-0.09889579,1083
BAL,0.5762426,0.062819935,1187
BUF,0.59175426,0.114987954,1237
CAR,0.6243144,-0.17666909,1094
CHI,0.57024795,-0.048789725,1089
CIN,0.67344964,-0.01015632,1032
CLE,0.59792167,-0.15027271,1251
DAL,0.6309624,0.10250385,1195
DEN,0.6017964,-0.058099262,1002
DET,0.58409786,0.079049215,1308
GB,0.599481,0.077655256,1156
HOU,0.6154506,-0.026258476,1165
IND,0.59613615,-0.03549888,1087
JAX,0.64519054,-0.07033108,1102
KC,0.66717094,0.027937649,1322
LA,0.591623,0.050851166,1146
LAC,0.65237224,-0.07593999,1096
LV,0.6078235,-0.09705627,997
MIA,0.6,0.080430776,1095
MIN,0.66698027,-0.040616486,1063
NE,0.617126,-0.19069146,1016
NO,0.5943739,-0.013633397,1102
NYG,0.63679695,-0.1737062,1049
NYJ,0.6625357,-0.25156504,1049
PHI,0.59758204,0.043762498,1158
PIT,0.5672897,-0.07765419,1070
SEA,0.64634144,0.016406909,984
SF,0.55369127,0.16556561,1192
TB,0.6312608,-0.0008887697,1158
TEN,0.58536583,-0.04719799,984
WAS,0.695283,-0.10565661,1060
